DATE,OPEN,CLOSING PRICE,DAILY HIGH,DAILY LOW,VOLUME (PCS.)
04/04/2018,45.39,47.67,47.84,45.16,1788361
04/03/2018,48.6,47.58,48.85,46.75,1486787
04/02/2018,48.86,47.68,49.34,47.02,1818635
03/29/2018,47.84,49.2,49.78,47.65,2902246
03/28/2018,50.37,47.39,50.37,46.14,4353710
03/27/2018,54.82,51.06,55.14,50.35,2827415
03/26/2018,53.08,53.55,53.66,51.11,2145115
03/23/2018,54,51.67,54.45,51.12,3970347
03/22/2018,56.74,55.16,56.75,54.37,2373396
03/21/2018,57.75,57.09,58.45,56.54,2016611
03/20/2018,54.3,57.69,58.06,54.3,3079452
03/19/2018,54.79,54.58,55.88,53.4,1812214
03/16/2018,54.52,54.89,55.05,53.9,1849278
03/15/2018,55.13,54.84,55.52,54.1,2354772
03/14/2018,53.49,54.61,54.83,53.22,3463016
03/13/2018,53.4,51.83,53.63,50.76,2154296
03/12/2018,52.64,53.19,53.79,52.1,2324033
03/09/2018,52.73,52.49,53.22,52.16,1844595
03/08/2018,50.82,52.25,52.97,50.82,2780561
03/07/2018,48.79,50.72,51.89,48.55,3200100
03/06/2018,49.5,49.6,50,47.81,3654050
03/05/2018,45.51,50.42,50.5,45.51,4572534
03/02/2018,45.34,46.02,46.1,45.02,1686121
03/01/2018,46,46.01,46.24,44.29,2323649
02/28/2018,45.93,46.05,48,45.56,4814569
02/27/2018,46.55,45.91,47.11,45.42,4063325
02/26/2018,45.36,46.55,46.84,45.3,2947278
02/23/2018,45,44.86,45.46,44.23,1465309
02/22/2018,44.37,44.9,45,44.01,1373892
02/21/2018,45.85,44.1,45.9,44.01,1625202
02/20/2018,44.54,44.93,46.42,44.37,3044138
02/16/2018,44.08,44.11,45.18,43.56,1793310
02/15/2018,42.3,44.29,45.04,42.25,2810321
02/14/2018,41.81,41.85,42.49,40.72,2619249
02/13/2018,39.85,42.11,42.68,39.74,2377246
02/12/2018,39.74,39.92,40.45,38.8,1769266
02/09/2018,40.03,39.57,40.54,36.77,3190241
02/08/2018,42.72,39.5,42.73,39.5,3806004
02/07/2018,42.06,41.67,42.79,41.5,2646725
02/06/2018,40,41.61,41.98,39.1,3740286
02/05/2018,42.05,41.02,44.23,40.12,2741084
02/02/2018,44,43.61,45.35,43.35,3140244
02/01/2018,45.75,44.45,46.7,44.02,2751999
01/31/2018,46,46.91,47.5,45.81,3219575
01/30/2018,44.36,45.52,45.93,42.56,2090032
01/29/2018,46,45.43,46.25,44.91,1586816
01/26/2018,45.5,45.97,46.25,44.87,2903921
01/25/2018,44.8,45.12,45.48,44.03,2187625
01/24/2018,45.3,44.32,45.82,43.05,3386245
01/23/2018,45,45.01,45.67,43.5,4630442
01/22/2018,42.8,45.29,45.44,42.77,5550217
01/19/2018,42.16,42.56,42.98,41.67,5174330
01/18/2018,40.29,40.27,41.13,40.02,1944356
01/17/2018,39.32,40.06,40.31,39.22,2117296
01/16/2018,41.25,39.32,41.25,38.67,3467501
01/12/2018,42.4,41.25,42.49,41.01,2775218
01/11/2018,41.08,42.3,43.08,41.04,3966688
01/10/2018,40.62,40.84,41.19,40,2487570
01/09/2018,40.4,40.88,41.48,39.22,3523574
01/08/2018,41,40.76,41.9,39.81,6642396
01/05/2018,38.22,41.14,41.15,38.19,5823438
01/04/2018,38.36,38.1,38.66,37.4,5077827
01/03/2018,36.43,37.31,37.35,36.05,2657021
01/02/2018,34.77,36.17,36.24,34.69,2705064
